phase,dataset,block,window_kb,cores,mode,samples,gbps,gbps_min,gbps_max,output_pct,output_pct_min,output_pct_max,compression_factor,compression_factor_min,compression_factor_max,cpu_seconds_per_gb,cpu_seconds_per_gb_min,cpu_seconds_per_gb_max
optimized,dickens,65536,32,32,async,3,8.504178,8.498805,8.509958000000001,58.49563247844923,58.49516552678753,58.4957264574834,1.7095293402775271,1.7095265937535329,1.7095429870047223,3.7578985294051934,3.7548566044626774,3.7589659958076456
optimized,dickens,65536,32,32,sw,3,9.165337,9.164995000000001,9.166421,63.25804989742805,63.25787091665016,63.258160077693745,1.5808264744510534,1.5808237210374105,1.5808309472154383,3.4877077401569774,3.4873927348525666,3.4880486118513705
optimized,dickens,65536,32,32,sync,3,8.430328,8.424076999999999,8.451859,58.49415998571603,58.49394078273895,58.49432246817358,1.7095723748220246,1.7095676260616477,1.7095787813548906,3.787526772386555,3.7794936001653596,3.7875862245798566
optimized,dickens,65536,32,64,async,3,8.48317,8.466003,8.496489,58.49415641373948,58.492900189314646,58.49456388846822,1.7095724792179645,1.709560570289409,1.7096091948996535,7.531437540447734,7.516989782485448,7.544635290112701
optimized,dickens,65536,32,64,sw,3,18.281155,18.280541,18.284080000000003,63.25745613163857,63.2574270873201,63.25749523182943,1.5808413128706966,1.5808403357343612,1.5808420387057587,3.49478273099248,3.4944162353260317,3.4949642951990727
optimized,dickens,65536,32,64,sync,3,8.485521,8.475214,8.490304,58.49356500162733,58.493426942280905,58.49386408461604,1.7095897642282178,1.7095810229828896,1.7095937992943415,7.523316343398527,7.522393780010704,7.527273222233497
window,dickens,65536,8,1,async,3,0.464681,0.464414,0.465022,62.457931489533955,62.45769863820484,62.45806022929242,1.6010776792497035,1.6010743790775086,1.601083648298736,2.1493712891209236,2.1481865374111333,2.1502344890550242
window,dickens,65536,8,1,sw,3,0.28626100000000004,0.286158,0.286331,63.25838824614593,63.25821266937018,63.25853863300887,1.5808180191200585,1.5808142609829294,1.5808224067705963,3.4899060647451097,3.4891471758209907,3.49132996456503
window,dickens,65536,8,1,sync,3,0.422194,0.42193200000000003,0.42371,62.45636536808527,62.45561874898268,62.45754494464701,1.6011178269925266,1.6010875881949087,1.6011369673866032,2.3647625683759466,2.3582969483845084,2.367070588402488
window,dickens,65536,8,8,async,3,3.7022779999999997,3.6997530000000003,3.7037579999999997,62.460786351431196,62.46038789428238,62.46118214218879,1.6010044996448982,1.6009943547395014,1.6010147130250851,2.1584176012714336,2.1576088394544137,2.1596084927831667
window,dickens,65536,8,8,sw,3,2.291598,2.291337,2.291792,63.257917990971116,63.25778871906561,63.25803885606349,1.5808297708165662,1.5808267503761646,1.5808330013575143,3.488307286007406,3.4876079504597275,3.4886374199866714
window,dickens,65536,8,8,sync,3,3.3744050000000003,3.373592,3.377982,62.45719216523575,62.45707004528612,62.457508248576,1.6010966316808093,1.6010885288924401,1.601099762244569,2.367015814639914,2.364744394730345,2.3677365253415354
window,dickens,65536,8,16,async,3,7.347852,7.337943,7.350241,62.460732089085546,62.460074588867876,62.460838461419634,1.6010058905069111,1.60100316395476,1.6010227438604883,2.174557680258122,2.1737158006111637,2.1770130948141735
window,dickens,65536,8,16,sw,3,4.582546000000001,4.581651,4.583433,63.25793934951851,63.25788383028657,63.25805418924787,1.5808292370617847,1.5808263671979537,1.58083062450031,3.488818224628841,3.48786182758644,3.489467443068012
window,dickens,65536,8,16,sync,3,6.705424,6.7031220000000005,6.707879,62.460880843591084,62.46084556865684,62.46133549574847,1.601002077610961,1.6009904240168968,1.6010029817812856,2.3816186716902616,2.3810180535456884,2.3825056443848105
window,dickens,65536,8,24,async,3,10.939864,10.931802,10.942729,62.45947487838118,62.45944262038184,62.45961722866213,1.6010381162300251,1.6010344673407786,1.6010389431071848,2.1904438665782315,2.1899747311662385,2.1920301886184914
window,dickens,65536,8,24,sw,3,6.876939999999999,6.87512,6.877086,63.25789877934742,63.25781091468239,63.25790671872474,1.5808302509195613,1.5808300525126193,1.5808324466819261,3.486781184654803,3.486508239100107,3.4874634915463294
window,dickens,65536,8,24,sync,3,10.017112,10.009956,10.023539000000001,62.46089572020894,62.46061707228886,62.46121184389091,1.6010016962924445,1.6009935934309063,1.6010088386457164,2.3915196316063954,2.3898056365122136,2.392553373860984
window,dickens,65536,8,32,async,3,14.46572,14.463983,14.467975000000001,62.45984037429505,62.45958658739513,62.46015376052665,1.6010287474438434,1.6010207144766533,1.6010352527722433,2.2082573145339466,2.2080132153946908,2.208807352718819
window,dickens,65536,8,32,sw,3,9.165529000000001,9.160802,9.166698,63.25796644516514,63.257904272822486,63.25800782654716,1.580828559936155,1.5808275258082587,1.5808301136362977,3.4879322295527073,3.487444988369858,3.489697408589335
