dataset,block_bytes,mode,mbps,output_pct,compression_factor,space_saved_pct,payload_output_pct,output_mb_per_input_gb,throughput_vs_sw,output_reduction_vs_sw_pct
repeated,4096,sync,1408.713,3.7978974651708692,26.330358024950247,96.20210253482912,3.5049287151708692,37.97897465170869,0.18835846583732835,-498.3149237438416
repeated,4096,async,3019.139,5.055643679913365,19.779874993427867,94.94435632008663,4.762674929913365,50.55643679913364,0.4036878982373597,-696.4583274201976
repeated,65536,sw,10721.319,0.40740966796875,245.45318352059925,99.59259033203125,0.40740966796875,4.0740966796875,1.0,0.0
repeated,65536,sync,1859.455,1.8406546271676858,54.328497331340955,98.15934537283232,1.8223440802926858,18.406546271676856,0.17343528347584844,-351.79453800023015
repeated,65536,async,3906.741,1.6952571454366732,58.988101167532015,98.30474285456333,1.6769465985616732,16.95257145436673,0.364389959854753,-316.1062632334749
repeated,262144,sw,11280.444,0.395965576171875,252.54720616570327,99.60403442382812,0.395965576171875,3.95965576171875,1.0,0.0
repeated,262144,sync,1869.315,1.6242261354251128,61.567781615474836,98.3757738645749,1.6196484987063628,16.24226135425113,0.16571289215211743,-310.1937726829295
repeated,262144,async,3782.053,1.627788231801035,61.43305255951931,98.37221176819897,1.623210595082285,16.277882318010352,0.3352751895226819,-311.09337017076155
repeated,1048576,sw,11304.942,0.39310455322265625,254.38524987869965,99.60689544677734,0.39310455322265625,3.9310455322265625,1.0,0.0
repeated,1048576,sync,1875.797,1.6004427584855916,62.48270953134515,98.39955724151442,1.599298349305904,16.004427584855915,0.16592716707436447,-307.12903103391255
repeated,1048576,async,3795.898,1.6069532756510685,62.22956293454412,98.39304672434893,1.605808866471381,16.069532756510686,0.33577332816037453,-308.78521056989194
repeated,4194304,sw,11495.674,0.3924131393432617,254.8334649735707,99.60758686065674,0.3924131393432617,3.924131393432617,1.0,0.0
repeated,4194304,sync,1874.294,1.5909576309340645,62.85522508936279,98.40904236906593,1.5906715286391426,15.909576309340645,0.16304341963768282,-305.42924571707096
repeated,4194304,async,3770.397,1.590636660132492,62.867908496256156,98.40936333986751,1.59035055783757,15.906366601324919,0.3279839877157268,-305.3474516155508
text,4096,sw,6095.065,2.001953125,49.951219512195124,97.998046875,2.001953125,20.01953125,1.0,0.0
text,4096,sync,1383.035,5.034657099931216,19.862325877439833,94.96534290006878,4.741688349931216,50.34657099931217,0.22691062359466227,-151.48726196729592
text,4096,async,2905.943,6.4658969177164645,15.465758466702654,93.53410308228354,6.1729281677164645,64.65896917716464,0.4767698129552352,-222.97943628008093
text,65536,sw,10202.681,0.49285888671875,202.89783281733747,99.50714111328125,0.49285888671875,4.9285888671875,1.0,0.0
text,65536,sync,1854.77,1.9181691532918113,52.13304563280452,98.08183084670819,1.8998586064168113,19.181691532918112,0.1817924131902193,-289.1923641799757
text,65536,async,3903.754,1.9860253765665252,50.35182388901884,98.01397462343347,1.9677148296915252,19.860253765665252,0.382620411242888,-302.9602448255845
text,262144,sw,10541.584,0.417327880859375,239.6197440585009,99.58267211914062,0.417327880859375,4.17327880859375,1.0,0.0
text,262144,sync,1867.015,1.6448289507758156,60.796595264713126,98.35517104922418,1.6402513140570656,16.448289507758155,0.17710953116723255,-294.1334922049136
text,262144,async,3783.774,1.6870745798436608,59.274202335066235,98.31292542015633,1.6824969431249108,16.87074579843661,0.35893789775805984,-304.256379029741
text,1048576,sw,10578.737,0.39844512939453125,250.97558640497846,99.60155487060547,0.39844512939453125,3.9844512939453125,1.0,0.0
text,1048576,sync,1875.168,1.6080476560315298,62.18721169420321,98.39195234396847,1.6069032468518423,16.080476560315297,0.1772582114481152,-303.5807034396643
text,1048576,async,3797.326,1.6097081154913828,62.12306382606128,98.39029188450861,1.6085637063116953,16.097081154913827,0.35895835202255244,-303.99743822630256
text,4194304,sw,10671.458,0.3937244415283203,253.98474022041904,99.60627555847168,0.3937244415283203,3.937244415283203,1.0,0.0
text,4194304,sync,1873.775,1.5924749758419576,62.79533525927401,98.40752502415803,1.5921888735470358,15.924749758419576,0.17558753452433584,-304.4643430467377
text,4194304,async,3764.68,1.5933479656252945,62.760929914487285,98.4066520343747,1.5930618633303726,15.933479656252945,0.35278028550550444,-304.6860691300735
dickens,4096,sw,328.262,75.63652683336066,1.322112531955836,24.363473166639338,75.63652683336066,756.3652683336067,1.0,0.0
dickens,4096,sync,299.001,75.17114602592684,1.3302976645521618,24.828853974073162,74.8781062964158,751.7114602592684,0.9108608367706282,0.6152857976399861
dickens,4096,async,370.529,75.17347614992373,1.330256429815258,24.826523850076263,74.88043629974688,751.7347614992374,1.1287599539392315,0.6122051115026728
dickens,65536,sw,286.119,63.25551659104159,1.5808897846257137,36.74448340895841,63.25551659104159,632.5551659104159,1.0,0.0
dickens,65536,sync,428.116,58.496192228184526,1.7095129818008594,41.503807771815474,58.477825710668185,584.9619222818453,1.4962865101583604,7.523967266961018
dickens,65536,async,520.811,58.49421451992522,1.7095707809861507,41.50578548007478,58.47584811754335,584.9421451992522,1.8202601015661315,7.527093805745122
dickens,262144,sw,331.292,63.5091199079477,1.5745770079154529,36.4908800920523,63.5091199079477,635.091199079477,1.0,0.0
dickens,262144,sync,439.019,57.09197918715782,1.7515595259393961,42.90802081284218,57.08738757642692,570.9197918715781,1.3251723555051134,10.10428223551374
dickens,262144,async,537.339,57.09381294949305,1.7515032686372354,42.90618705050695,57.08922155859124,570.9381294949305,1.6219498207019791,10.101394835502697
