phase,dataset,block_bytes,cores,mode,samples,mbps,mbps_min,mbps_max,output_ratio,output_ratio_min,output_ratio_max,compression_factor,compression_factor_min,compression_factor_max,space_saved_pct,space_saved_pct_min,space_saved_pct_max,payload_output_ratio,payload_output_ratio_min,payload_output_ratio_max,cpu_seconds_per_gb,cpu_seconds_per_gb_min,cpu_seconds_per_gb_max,cpu_cores_used,cpu_cores_used_min,cpu_cores_used_max
crossing,dickens,65536,16,sync,3,4255.0,4254.939,4256.248,0.5849510636028312,0.5849502859567217,0.5849513318811135,1.709544716169587,1.7095439321150938,1.7095469888769081,41.504893639716876,41.504866811888654,41.504971404327826,0.5847674001885833,0.5847666227185696,0.5847676684754582,3.757675469054792,3.7564913156681294,3.7577455596486207,15.988908,15.988559,15.988977
crossing,dickens,65536,16,sw,3,4586.88,4586.68,4587.465,0.6325747432312525,0.6325743552631986,0.6325757569415755,1.5808408582547955,1.580838324938146,1.5808418278099885,36.74252567687475,36.74242430584245,36.74256447368014,0.6325747432312525,0.6325743552631986,0.6325757569415755,3.4856915534792616,3.485265727672201,3.485774087368009,15.988449,15.988132,15.988536
crossing,dickens,65536,16,async,3,4242.629,4239.301,4242.927,0.5849435608648109,0.5849426632762633,0.5849556559756078,1.7095666435263397,1.7095312948674168,1.7095692668389084,41.50564391351891,41.504434402439216,41.505733672373665,0.5847598962967538,0.5847589987427174,0.5847719908893715,3.7665292365493386,3.765648971753638,3.7696480432461548,15.979984,15.977372,15.980671
screen,random,4096,1,sync,3,1170.426,1151.002,1173.03,1.0029296875,1.0029296875,1.0029296875,0.997078870496592,0.997078870496592,0.997078870496592,-0.29296875,-0.29296875,-0.29296875,1.0,1.0,1.0,0.8535404021762905,0.8514334605981961,0.8669339267460419,0.998757,0.997842,0.999006
screen,random,4096,1,async,3,2377.934,2372.137,2389.44,1.0029296875,1.0029296875,1.0029296875,0.997078870496592,0.997078870496592,0.997078870496592,-0.29296875,-0.29296875,-0.29296875,1.0,1.0,1.0,0.4189893707841847,0.4179026200014399,0.4209493376485382,0.99855,0.996329,0.998553
screen,random,4096,1,sw,3,2511.211,2509.18,2514.002,1.004394471584369,1.0043944715180944,1.0043944718682662,0.9956247553041219,0.9956247550227032,0.9956247553698176,-0.43944715843688975,-0.43944718682662476,-0.4394471518094356,1.004394471584369,1.0043944715180944,1.0043944718682662,0.3969294271449734,0.39626730029636414,0.39790727500587186,0.996216,0.995967,0.999229
screen,random,65536,1,async,3,3604.29,3599.574,3618.496,1.00018310546875,1.00018310546875,1.00018310546875,0.9998169280527247,0.9998169280527247,0.9998169280527247,-0.018310546875,-0.018310546875,-0.018310546875,1.0,1.0,1.0,0.2770421808416193,0.2759730632807406,0.27739060643876984,0.99854,0.998488,0.998607
screen,random,65536,1,sync,3,1526.948,1525.373,1527.418,1.00018310546875,1.00018310546875,1.00018310546875,0.9998169280527247,0.9998169280527247,0.9998169280527247,-0.018310546875,-0.018310546875,-0.018310546875,1.0,1.0,1.0,0.6540008675898605,0.6521178335143178,0.6546404974017578,0.998571,0.996056,0.998625
screen,random,65536,1,sw,3,8501.436,8448.799,8525.38,1.003936767578125,1.003936767578125,1.003936767578125,0.9960786697875186,0.9960786697875186,0.9960786697875186,-0.3936767578125,-0.3936767578125,-0.3936767578125,1.003936767578125,1.003936767578125,1.003936767578125,0.11747313811357903,0.11678413816662807,0.11820291566464457,0.998672,0.995629,0.99869
screen,random,262144,1,sw,3,9064.815,9038.983,9072.514,1.0039253234863281,1.0039253234863281,1.0039253234863281,0.9960900244325975,0.9960900244325975,0.9960900244325975,-0.3925323486328125,-0.3925323486328125,-0.3925323486328125,1.0039253234863281,1.0039253234863281,1.0039253234863281,0.1101594773795027,0.11007775257073892,0.11047853144932275,0.998613,0.998575,0.998682
